name,group,tag1,tag2,tag3
ballet_shoe_2,Sports,shoe,dance,
1_2_3,Other,number,count,
1_2_3_2nd,Other,number,count,
a_person_running_1,Sports,run,person,exercise
a_person_running_2,Sports,run,person,exercise
a_person_running_3,Sports,run,person,exercise
abc1,School,abc,letter,read
apple1,Food,fruit,,
art8,Other,paint,draw,brush
asset_1,Other,flower,plant,
asset_10,Other,plug,power,charge
asset_100,Clothes,underwear,boxers,
asset_101,Hygiene,tooth,floss,brush
asset_102,Other,,,
asset_103,Other,,,
asset_104,Hygiene,dentist,tooth,brush
asset_105,Chores,clean,sweep,
asset_106,Other,clean,wash,soap
asset_107,Rewards,treasure,money,chest
asset_108,Chores,dish,wash,clean
asset_109,Clothes,pajamas,,
asset_11,Clothes,drawer,dresser,clothes
asset_110,Chores,sink,clean,wash
asset_111,Other,brush,paint,
asset_112,Other,envelope,mail,
asset_113,Food,table,,
asset_114,Chores,toys,clean,
asset_115,People,doctor,man,person
asset_116,Clothes,socks,,
asset_117,Routines,prayer,hands,
asset_118,Other,wash,clean,
asset_119,Other,seatbelt,safe,buckle
asset_12,Food,table,,
asset_120,People,,,
asset_121,Other,,,
asset_123,Other,,,
asset_13,Other,stair,step,
asset_15,Chores,lawn,mower,grass
asset_16,Chores,clean ,sponge,soap
asset_17,Chores,clothes,clean,wash
asset_18,Chores,dust,clean,
asset_19,Clothes,hanger,shirt,pants
asset_2,Clothes,leotard,swim,dress
asset_20,Chores,dish,clean,
asset_21,Clothes,shirt,fold,
asset_22,Clothes,clothesline,dry,
asset_23,Chores,clean,mop,
asset_24,Hygiene,tooth,brush,paste
asset_25,Hygiene,comb,hair,
asset_26,Sports,tennis,ball,
asset_27,Chores,trash,garbage,
asset_28,Sports,basketball,ball,
asset_3,Other,teeth,smile,mouth
asset_30,Clothes,shorts,,
asset_31,Chores,mail,,
asset_33,Rewards,candy,,
asset_34,Pets,cat,pet,
asset_35,Clothes,dress,,
asset_36,Other,paint,,
asset_37,Food,watermelon,banana,fruit
asset_38,Hygiene,shower,,
asset_39,Hygiene,bath,,
asset_4,Chores,water ,,
asset_40,Hygiene,tooth,brush,teeth
asset_41,Hygiene,floss,tooth,teeth
asset_42,Pets,fish,,
asset_43,Other,,,
asset_44,Food,grocery,,
asset_45,Chores,broom,sweep,clean
asset_46,Clothes,shirt,tank,
asset_47,Hygiene,tooth,teeth,
asset_48,Chores,car,wash,clean
asset_49,Chores,bucket,,
asset_5,Hygiene,tooth,teeth,brush
asset_51,Clothes,,,
asset_53,Routines,pillow,sleep,bed
asset_54,Chores,plunger,,
asset_55,Hygiene,tooth ,teeth,
asset_56,Sports,swim,pool,
asset_57,People,doctor,woman,
asset_58,Chores,clothes ,basket,
asset_59,Other,vacuum,clean,
asset_6,People,ninja,,
asset_60,Clothes,coat,,
asset_61,Hygiene,brush,tooth,teeth
asset_62,Chores,gloves,clean,rubber
asset_63,Other,power,charge,plug
asset_64,Chores,rake,,
asset_65,Sports,football,ball,
asset_66,Chores,vacuum,clean,
asset_68,Clothes,shirt,fold,
asset_69,Chores,clean ,dish,
asset_7,Other,bag,trash,
asset_70,Chores,wash,clean,clothes
asset_71,Chores,table,,
asset_72,Hygiene,soap,wash,clean
asset_73,Sports,baseball,ball,
asset_74,Sports,soccer,ball,
asset_75,Hygiene,,,
asset_76,Hygiene,tooth,teeth,brush
asset_77,Chores,trash,garbage,
asset_78,Chores,dish,clean,
asset_79,People,superman,hero,
asset_80,Chores,toilet,potty,clean
asset_81,Hygiene,tooth,teeth,brush
asset_82,Food,vegetable,,
asset_83,Routines,clock,time,
asset_84,Clothes,drawer,,
asset_85,Other,spray,bottle,
asset_86,Clothes,hat,,
asset_87,Chores,window,clean,
asset_88,Other,drawer,cabinet,
asset_89,Chores,vacuum,clean,
asset_9,Sports,swim,pool,
asset_90,Other,shovel,,
asset_91,Other,spray,paint,
asset_92,Other,plant,,
asset_93,Clothes,pants,,
asset_94,Chores,clothes,hamper,
asset_95,Hygiene,comb,hair,
asset_96,Sports,golf,ball,
asset_97,Hygiene,,,
asset_98,Chores,dish,dishes,clean
asset_99,Other,question,,
award3,Rewards,,,
backpack2,School,,,
Backpack9,School,,,
ball3,Sports,ball,beach,
ball4,Sports,pool,ball,
ballet_shoe,Sports,shoe,ballet,
balloon2,Rewards,,,
bank1,Rewards,money,piggy,
bath1,Hygiene,clean,tub,wash
bathroom2,Hygiene,toilet,paper,
bathroom3,Hygiene,toilet,potty,
beach1,Clothes,sandal,flipflop,
beach4,Other,island,,
bear1,Other,stuffed,animal,
bed9,Routines,sleep,,
behavior_2219,Behaviors,food,,
behavior_2220,Behaviors,dish,clean,
behavior_2221,Behaviors,meditate,,
behavior_2222,Behaviors,report,school,
behavior_2223,Behaviors,clean,,
behavior_2224,Behaviors,,,
behavior_2225,Behaviors,heart,,
behavior_2226,Behaviors,first,,
behavior_2227,Behaviors,first,,
behavior_2228,Behaviors,,,
behavior_2229,Behaviors,,,
behavior_2230,Behaviors,hug,,
behavior_2231,Behaviors,,,
behavior_2232,Behaviors,homework,school,
behavior_2233,Behaviors,bus,school,
behavior_2234,Behaviors,doctor,,
behavior_2235,Behaviors,text,talk,speech
behavior_2236,Behaviors,clean,dish,
behavior_2237,Behaviors,check,,
behavior_2238,Behaviors,mask,sad,
behavior_2239,Behaviors,award,,
behavior_2240,Behaviors,mask,,
behavior_2241,Behaviors,wrench,tool,
behavior_2242,Behaviors,gear,,
behavior_2243,Behaviors,clock,time,
behavior_2244,Behaviors,,,
behavior_2245,Behaviors,,,
behavior_2246,Behaviors,book,read,
behavior_2247,Behaviors,book,read,
behavior_2248,Behaviors,heart,,
behavior_2249,Behaviors,homework,school,
behavior_2250,Behaviors,,,
behavior_2251,Behaviors,,,
behavior_2252,Behaviors,badge,sheriff,
behavior_2253,Behaviors,heart,,
behavior_2254,Behaviors,,,
behavior_2255,Behaviors,,,
behavior_2257,Behaviors,calm,,
behavior_2258,Behaviors,task,,
behavior_2259,Behaviors,help,,
behavior_2260,Behaviors,help,,
behavior_2261,Behaviors,,,
behavior_2262,Behaviors,clock,watch,time
bicycle_1,Sports,bike,,
bicycle_2,Sports,bike,,
bicycle_3,Sports,bike,,
bike1,Sports,bicycle,,
bird1,Pets,animal,,
boat3,Other,ship,cruise,
bone1,Pets,dog,,
book,School,read,,
book6,School,read,,
bouncy_house_1,Rewards,play,,
bouncy_house_2,Rewards,play,,
bread1,Food,,,
breakfast1,Food,egg,,
bubbles1,Other,,,
bunny1,Pets,rabbit,,
bus1,School,,,
bus3,School,,,
cake2,Food,birthday,,
camping1,Other,tent,,
candy_with_an_s_1,Rewards,treat,,
candy_with_an_s_2,Rewards,treat,,
candy1,Rewards,treat,,
car2,Other,,,
cards1,Sports,poker,ace,
cat1,Pets,,,
catfood1,Pets,,,
check1,Other,,,
child_holding_1,People,People,holding,hands
child_holding_2,People,People,holding,hands
Church,Other,,,
church_2,Other,,,
circle_with_red_yellow_green_blue_1,Other,,,
circle_with_red_yellow_green_blue2,Other,,,
clean1,Hygiene,sponge,wash,
clean3,Chores,dish,wash,
clean5,Chores,broom,sweep,
clean6,Hygiene,glove,,
clock1,Other,time,alarm,
clock4,Other,time,alarm,
clothes1,Clothes,shirt,,
coin1,Rewards,money,,
computer2,School,,,
computer7,School,,,
conversation_bubble_1,People,People,,
conversation_bubble_2,People,People,,
conversation_bubble_3,People,People,,
conversation_bubble_4,People,People,,
conversation_bubble_two_people,People,People,,
cook1,Food,chef,hat,
crayon_2,School,draw,art,color
crayon_3,School,draw,art,color
cup1,Rewards,trophy,,
dance_class_1,Sports,girl,,
dance_class_2,Sports,boy,,
dinner1,Food,turkey,chicken,
dirt_bike_1,Sports,motorcycle,bike,
dirt_bike_2,Sports,motorcycle,bike,
dog1,Pets,,,
dogfood1,Pets,,,
doll1,People,,,
donut_1,Food,,,
donut_2,Food,,,
drink4,Food,coffee,tea,mug
eat1,Food,fork,knife,
eat6,Food,spoon,,
eat7,Food,plate,,
eat9,Food,plate,,
emojis_1,Other,smile,,
emojis_2,Other,smile,,
emojis_3,Other,smile,,
emotions__anger_2,Behaviors,angry,,
emotions__anger_3,Behaviors,angry,,
emotions__anger1,Behaviors,angry,,
evening,Routines,sunset,,
fire_truck_1,Rewards,,,
fire_truck_2,Rewards,,,
fish3,Other,,,
fish4,Pets,,,
four_wheeler_1,Rewards,car,,
four_wheeler_2,Rewards,car,police,
fruit1,Food,banana,,
fruit3,Food,watermelon,,
game2,Rewards,video,controller,
generic_family_1,People,,,
generic_family_2,People,,,
generic_family_3,People,,,
glass_of_milk_1,Food,cup,drink,
glass_of_milk_2,Food,cup,drink,
Glasses,Health,,,
glasses_2,Health,,,
glasses1,Other,,,
globe_1,Rewards,,,
go_kart_1,Rewards,car,race,
hairbrush_1,Hygiene,,,
hairbrush_2,Hygiene,,,
hairbrush_3,Hygiene,,,
hang_towel_1,Clothes,,,
hang_towel_2,Clothes,,,
happymeal1,Food,,,
hearing_aid,Health,stethoscope,doctor,
hearing_aid_2,Health,ear,,
heart1,Other,,,
hockey_icon_1,Sports,stick,puck,
hockey_icon_2,Sports,stick,puck,
hockey_sticks,Sports,stick,puck,
homework4,School,,,
hot_steaming_cup_1,Food,coffee,tea,mug
hot_steaming_cup_2,Food,coffee,tea,mug
hotdog1,Food,,,
hug4,Other,,,
hw1,School,homework,,
hw2,School,homework,,
icecream1,Food,dessert,treat,
icecream4,Food,dessert,treat,
icecream5,Food,dessert,treat,
icecream6,Food,dessert,treat,
lamp_1,Chores,light,,
lamp_2,Chores,light,,
leash1,Pets,dog,collar,
legos_1,Rewards,,,
legos_2,Rewards,,,
legos_3,Rewards,,,
light_bulb,Other,,,
light_bulb_2,Other,,,
light_switch,Other,,,
luchbox_1,Food,,,
luchbox_2,Food,,,
luchbox_3,Food,,,
math2,School,homework,,
math5,School,homework,,
math7,School,calculator,homework,
money1,Rewards,dollar,,
music1,Other,trumpet,,
music10,Other,note,,
music2,Other,guitar,,
music4,Other,speaker,amp,
music7,Other,piano,keyboard,
paint1,Other,brush,,
pencil_1,School,homework,,
pencil_2,School,homework,,
phone4,Rewards,,,
piano_1,Routines,,,
piano_2,Routines,,,
piano_3,Routines,,,
pills2,Routines,medicine,vitamin,
pills4,Routines,medicine,vitamin,
pizza1,Food,,,
plane4,Other,air,,
play1,Sports,seesaw,,
play3,Sports,jump,rope,jumprope
play4,Sports,pingpong,ball,
play6,Sports,volleyball,ball,
playground_1,Rewards,basketball,,
playground_2,Rewards,,,
playground_3,Rewards,basketball,,
playground_4,Rewards,pingpong,ball,
playground1,Sports,basketball,,
popcorn_movies_1,Rewards,,,
popcorn_movies_2,Rewards,,,
put_on_watch_1,Routines,time,clock,
put_on_watch_2,Routines,time,clock,
religion1,Routines,bible,church,
roller_coaster_1,Rewards,,,
roller_coaster_2,Rewards,,,
roller_coaster_3,Rewards,,,
sandwich1,Food,,,
school,School,homework,folder,
school_folder,School,homework,folder,
school_folder_2,School,homework,folder,
school_folder_3,School,homework,folder,
school18,School,homework,,
science_beaker,School,flask,,
science_beaker_2,School,flask,,
screen1,School,phone,,
sheet_music_1,School,,,
sheet_music_2,School,,,
shoe9,Clothes,,,
shoes2,Clothes,,,
shop3,Other,cart,shopping,
shower9,Hygiene, ,,
sleeping_bag_1,Rewards,camp,,
sleeping_bag_2,Rewards,camp,,
snack2,Food,cupcake,,
snack4,Food,donut,,
soccer1,Sports,ball,,
sock1,Clothes,,,
sport2,Sports,golf,ball,
sport3,Sports,tennis,ball,
sun_1,Other,,,
sun_2,Other,,,
sun_3,Other,,,
sunscreen1,Hygiene,,,
swim4,Sports,pool,,
swimmingsuit2,Sports,shorts,,
swing1,Rewards,,,
tablet1,Rewards,,,
tennis_raquet_1,Sports,,,
tennis_raquet_2,Sports,pingpong,,
timer1,Other,clock,watch,
toothbrush1,Hygiene,teeth,,
towel_1,Clothes,,,
towel_2,Clothes,,,
toy13,Other,,,
toy2,Other,robot,,
toy3,Other,sand,bucket,
train1,Other,,,
train4,Other,,,
trash1,Chores,,,
trash2,Chores,garbage,,
truck1,Other,,,
turn_off_lights_1,Chores,,,
turn_off_lights_2,Chores,,,
tv1,Rewards,screen,television,
underwear1,Clothes,tank,shirt,
uniform_icon_1,Clothes,dress,,
uniform_icon_2,Clothes,dress,,
uniform_icon_3,Clothes,suit,shirt,
vegetable1,Food,radish,turnip,
vegetable2,Food,broccoli,,
video3,Rewards,screen,,
water5,Sports,bottle,,
yelling_face_1,Behaviors,angry,,
youtube_1,Rewards,,,
youtube_2,Rewards,,,
youtube_3,Rewards,,,
