grouping,alphabet,serial,subSerial,gridPosition,displayId,partOfSpeech,color,folderDisplayId,folderName,text,imageId,image,imageName
50,A,649,1,,A-649-1,Noun,#000000,12.2,Numbers,0,https://drive.google.com/file/d/1T4YoED2ip_ZugLGlfswR-4gRc32WwqmF/view?usp=sharing,#N/A,0.svg
50,A,650,1,,A-650-1,Noun,#000000,12.2,Numbers,1,https://drive.google.com/file/d/1ftm0z2YeJaWTg-LoI8fgbZDx8r4nbag3/view?usp=sharing,#N/A,1.svg
50,A,651,1,,A-651-1,Noun,#000000,12.2,Numbers,2,https://drive.google.com/file/d/1fqOoCD65MWJLLgevGiEwZ196GVhXI3AQ/view?usp=sharing,#N/A,2.svg
50,A,652,1,,A-652-1,Noun,#000000,12.2,Numbers,3,https://drive.google.com/file/d/1ZUB_PzpFDvBoNasopXZiWUBylUXjJjn2/view?usp=sharing,#N/A,3.svg
50,A,1117,1,,A-1117-1,Noun,#000000,13.2,Lowercase,a,https://drive.google.com/file/d/1dKkCvmLhcM1aj3jjMPAKaFAP2I0a8p18/view?usp=sharing,,a.svg
50,A,1117,2,,A-1117-2,Noun,#ffae37,13.1,Uppercase,A,https://drive.google.com/file/d/1Lg-usRGyFjKJOQAJggZzsMaxwP3C5k9t/view?usp=sharing,#N/A,Aa.svg
50,A,1142,3,,A-1142-3,Noun,#ffae37,13.3,Sounds,a sound,https://drive.google.com/file/d/1pfB_0zoGnX4st7tQGEtrJ-shlB42pM9x/view?usp=sharing,#N/A,asound.svg
50,A,1061,1,,A-1061-1,Noun,#ffae37,15.4,Sick,ache,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Back-Pain_859_g.svg,#N/A,Back-Pain.svg
50,A,1061,2,,A-1061-2,Noun,#ffae37,15.4,Sick,aches,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getssssdoz.svg
50,A,1061,3,,A-1061-3,verb,#20d35e,15.4,Sick,aching,https://drive.google.com/file/d/10xW_6MiaMm2pHEYG2rXEM8fOsiOTNl4-/view?usp=sharing,#N/A,ingy.svg
50,A,49,1,29,A-49-1,adjective,#1983e5,3.2,Feelings,afraid,https://drive.google.com/file/d/1gGWwt7v00CY2VLwzJ-Ep51xhGEGP-Ra_/view?usp=sharing,#N/A,afraid.svg
50,A,9,2,,A-9-2,adverb,#8c612d,3.1,General,again,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/reload_622_669122.svg,#N/A,reloads.svg
50,A,684,1,,A-684-1,Noun,#ffae37,7.3,School,aide,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Nurse_874_g.svg,#N/A,Nursess.svg
50,A,684,5,,A-684-5,Noun,#ffae37,7.3,School,aide's,https://drive.google.com/file/d/1BOzdigxem0AFjH_FMBbwLns0rgrS6RAZ/view?usp=sharing,#N/A,sg.svg
50,A,684,2,,A-684-2,Noun,#ffae37,7.3,School,aides,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getssspw.svg
50,A,410,1,,A-410-1,Noun,#ffae37,6,Vehicles,airplane,U+1F6EB,🛫,
50,A,410,2,,A-410-2,Noun,#ffae37,6,Vehicles,airplanes,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getssopq.svg
50,A,4,2,,A-4-2,verb ,#20d35e,18.1,A-D,am,https://drive.google.com/file/d/1dVJg7Nu-IYtmMKHXWn2J4BwscyA2VuCw/view?usp=sharing,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I%20am%20fine.png,am.svg
50,A,50,5,,A-50-5,adjective,#1983e5,3.2,Feelings,angrier,https://drive.google.com/file/d/1XhUS_6sco42OfhGvpLEgdxQ_IYHdtCJ8/view?usp=sharing,#N/A,reb.svg
50,A,50,6,,A-50-6,adjective,#1983e5,3.2,Feelings,angriest,https://drive.google.com/file/d/181T7itprJOkZT8OpZI3822b4rh7GWyKh/view?usp=sharing,#N/A,estb.svg
50,A,50,4,,A-50-4,adjective,#1983e5,3.2,Feelings,angry,https://drive.google.com/file/d/1Gklm-fRybAsDwdAo3peKSdX61b_G73mz/view?usp=sharing,#N/A,maddd.svg
50,A,284,1,,A-284-1,noun,#ffae37,5.7,Common,animal,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/monkey_919_122923.svg,#N/A,monkey.svg
50,A,284,2,,A-284-2,noun,#ffae37,5.7,Common,animals,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,_s.svg
50,A,9,3,,A-9-3,adjective,#1983e5,3.1,General,another,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/more.svg,#N/A,mores.svg
50,A,814,1,,A-814-1,Noun,#ffae37,5.3,Bugs,ant,U+1F41C,🐜,
50,A,814,3,,A-814-3,Noun,#ffae37,5.3,Bugs,ant's,https://drive.google.com/file/d/1BOzdigxem0AFjH_FMBbwLns0rgrS6RAZ/view?usp=sharing,#N/A,syyy.svg
50,A,814,2,,A-814-2,Noun,#ffae37,5.3,Bugs,ants,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getaaozw.svg
50,A,326,1,,A-326-1,Noun,#ffae37,1.1,Fruit,apple,https://d18vdu4p71yql0.cloudfront.net/libraries/twemoji/1f34e.svg,#N/A,f327lsc.svg
50,A,326,2,,A-326-2,Noun,#ffae37,1.1,Fruit,apples,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,_s.svg
50,A,4,3,,A-4-3,verb ,#20d35e,18.1,A-D,are,https://drive.google.com/file/d/1T1hz7P3qMPMI-4L1EbddHhHY23xUlvcj/view?usp=sharing,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I%20am%20fine.png,are.svg
50,A,490,1,,A-490-1,Noun,#ffae37,4.1,General,art,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/art.svg,#N/A,art.svg
50,A,24,3,,A-24-3,verb,#20d35e,18.1,A-D,ate,https://drive.google.com/file/d/1kkqWcqZwc0ifOaSsm_y-NpVOP-05OqTM/view?usp=sharing,#N/A,edb.svg
50,A,22,1,12,A-22-1,preposition ,#ff5ec8,3.1,General,away,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/away.svg,#N/A,away.svg
50,A,1118,1,,A-1118-1,Noun,#000000,13.2,Lowercase,b,https://drive.google.com/file/d/12M7Y8uY6pXM-BF7_LGg0Z0L0uc-aa4Sv/view?usp=sharing,#N/A,bll.svg
50,A,1118,2,,A-1118-2,Noun,#ffae37,13.1,Uppercase,B,https://drive.google.com/file/d/1kY2AaU2noLQUkDZCPenfO-ywyvdSA0Gb/view?usp=sharing,#N/A,B.svg
50,A,1141,3,,A-1141-3,Noun,#ffae37,13.3,Sounds,b sound,https://drive.google.com/file/d/1pfB_0zoGnX4st7tQGEtrJ-shlB42pM9x/view?usp=sharing,#N/A,bsound.svg
50,A,45,1,53,A-45-1,adjective,#1983e5,3.1,General,bad,https://drive.google.com/file/d/1ueIyR7kJ2iGb1NzxSmLoJG9thTlUZ57y/view?usp=sharing,#N/A,bad.svg
50,A,328,1,,A-328-1,Noun,#ffae37,1.1,Fruit,banana,U+1F34C,🍌,
50,A,328,2,,A-328-2,Noun,#ffae37,1.1,Fruit,bananas,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,_s.svg
50,A,370,1,,A-370-1,Noun,#ffae37,2.1,Snack,bar,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/cake%20bar.svg,#N/A,cakebbar.svg
50,A,370,2,,A-370-2,Noun,#ffae37,2.1,Snack,bars,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,_s.svg
50,A,1108,6,,A-1108-6,Noun,#ffae37,4.2,Sports,bases,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getssssdopz.svg
50,A,1113,1,,A-1113-1,Noun,#ffae37,4.2,Sports,basketball,U+1F3C0,🏀,
50,A,1113,2,,A-1113-2,Noun,#ffae37,4.2,Sports,basketballs,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getssssssqz.svg
50,A,1108,4,,A-1108-4,Noun,#ffae37,4.2,Sports,bat,https://drive.google.com/file/d/1Z6GJ8T0ormq_jEyFTcC5GFPOOoRd-GpT/view?usp=sharing,,baseball-bat.svg
50,A,447,1,,A-447-1,Noun,#ffae37,8.5,Common,bathroom,https://d18vdu4p71yql0.cloudfront.net/libraries/sclera/toilet%20use.png,,toiletsuse.png
50,A,447,2,,A-447-2,Noun,#ffae37,8.5,Common,bathrooms,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,_s.svg
50,A,4,4,,A-4-4,verb ,#20d35e,18.1,A-D,be,https://drive.google.com/file/d/1iN6TwqP7LQQlRS8szPrIs1klfwSt3oBf/view?usp=sharing,#N/A,be.svg
50,A,965,1,,A-965-1,Noun,#ffae37,10,Household,bed,U+1F6CF,🛏,
50,A,747,1,,A-747-1,Noun,#ffae37,8.1,Home,bedroom,https://d18vdu4p71yql0.cloudfront.net/libraries/tawasol/Bedroom.png,#N/A,Bedroom.png
50,A,747,2,,A-747-2,Noun,#ffae37,8.1,Home,bedrooms,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getaaoqw.svg
50,A,965,2,,A-965-2,Noun,#ffae37,10,Household,beds,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,bedqqq.svg
50,A,815,1,,A-815-1,Noun,#ffae37,5.3,Bugs,bee,https://drive.google.com/file/d/1kFZkkDHZ5ld3oa46jYY3SWPmXnXVsm-R/view?usp=sharing,#N/A,bee.svg
50,A,815,3,,A-815-3,Noun,#ffae37,5.3,Bugs,bee's,https://drive.google.com/file/d/1BOzdigxem0AFjH_FMBbwLns0rgrS6RAZ/view?usp=sharing,#N/A,syyyy.svg
50,A,815,2,,A-815-2,Noun,#ffae37,5.3,Bugs,bees,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getaaaozw.svg
50,A,44,3,,A-44-3,adjective,#1983e5,3.1,General,best,https://drive.google.com/file/d/181T7itprJOkZT8OpZI3822b4rh7GWyKh/view?usp=sharing,#N/A,estaaaa.svg
50,A,44,2,,A-44-2,adjective,#1983e5,3.1,General,better,https://drive.google.com/file/d/1XhUS_6sco42OfhGvpLEgdxQ_IYHdtCJ8/view?usp=sharing,#N/A,reaaaa.svg
50,A,42,1,35,A-42-1,adjective,#1983e5,3.1,General,big,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/large.svg,#N/A,large.svg
50,A,42,2,,A-42-2,adjective,#1983e5,3.1,General,bigger,https://drive.google.com/file/d/1XhUS_6sco42OfhGvpLEgdxQ_IYHdtCJ8/view?usp=sharing,#N/A,rea.svg
50,A,42,3,,A-42-3,adjective,#1983e5,3.1,General,biggest,https://drive.google.com/file/d/181T7itprJOkZT8OpZI3822b4rh7GWyKh/view?usp=sharing,#N/A,esta.svg
50,A,450,1,,A-450-1,Noun,#ffae37,5.4,Pets,bird,U+1F426,🐦,
50,A,450,3,,A-450-3,Noun,#ffae37,5.4,Pets,bird's,https://drive.google.com/file/d/1BOzdigxem0AFjH_FMBbwLns0rgrS6RAZ/view?usp=sharing,,see_.svg
50,A,450,2,,A-450-2,Noun,#ffae37,5.4,Pets,birds,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getssdopq.svg
50,A,471,1,,A-471-1,Noun,#ffae37,14,Days / Times,birthday,U+1F382,🎂,
50,A,471,2,,A-471-2,Noun,#ffae37,14,Days / Times,birthdays,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,_s.svg
50,A,266,1,,A-266-1,adjective,#1983e5,3.4,Colors,black,https://drive.google.com/file/d/1toSoGDgeMsriBbV1xCrej5SVu5fC38e-/view?usp=sharing,,black.svg
50,A,1046,4,,A-1046-4,verb,#20d35e,15.3,Hurt,bled,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/fart_701_g.svg,#N/A,fart_701_g.svg
50,A,1046,3,,A-1046-3,verb,#20d35e,15.3,Hurt,bleeding,https://drive.google.com/file/d/10xW_6MiaMm2pHEYG2rXEM8fOsiOTNl4-/view?usp=sharing,#N/A,ingvvvvvv.svg
50,A,1046,5,,A-1046-5,verb,#20d35e,15.3,Hurt,bleeds,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getsssssssdz.svg
50,A,1046,1,,A-1046-1,Noun,#ffae37,15.3,Hurt,blood,U+1FA78,🩸,
50,A,1046,2,,A-1046-2,adjective,#1983e5,15.3,Hurt,bloody,https://drive.google.com/file/d/1jlRLazyUWvYf9yUYxdOhjRX1hQIcJiTH/view?usp=sharing,#N/A,bloody.svg
50,A,263,1,,A-263-1,adjective,#1983e5,3.4,Colors,blue,https://drive.google.com/file/d/1T0Bec4BoIeTT8i3j87AxmMRdEGmhXz95/view?usp=sharing,#N/A,blue.svg
50,A,288,2,,A-288-2,noun,#ffae37,15.1,General,bodies,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,_s.svg
50,A,288,1,,A-288-1,noun,#ffae37,15.1,General,body,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/body%20outline.svg,#N/A,body.svg
50,A,1053,1,,A-1053-1,Noun,#ffae37,15.3,Hurt,boo-boo,https://drive.google.com/file/d/1rInRK2RRnF6BAyA_hpJAMjowf-kR6Tzm/view?usp=sharing,#N/A,booboo.svg
50,A,1053,2,,A-1053-2,Noun,#ffae37,15.3,Hurt,boo-boos,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,,getssoz.svg
50,A,861,1,,A-861-1,Noun,#ffae37,2.6,Things,bottle,U+1F37E,🍾,
50,A,861,2,,A-861-2,Noun,#ffae37,2.6,Things,bottles,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,getsssdopzw.svg
50,A,489,1,,A-489-1,Noun,#ffae37,15.2,Private,bottom,https://d18vdu4p71yql0.cloudfront.net/libraries/mulberry/bottom%203.svg,#N/A,bottom.svg
50,A,824,1,,A-824-1,Noun,#ffae37,5.1,Dinosaurs,Brachiosaurus,https://drive.google.com/file/d/1W2SX3Hk0AkJ9SfRryXrVC0jox-BuZ3eO/view?usp=sharing,#N/A,brachiosaurus.png
50,A,824,3,,A-824-3,Noun,#ffae37,5.1,Dinosaurs,Brachiosaurus',https://drive.google.com/file/d/1BOzdigxem0AFjH_FMBbwLns0rgrS6RAZ/view?usp=sharing,#N/A,__s.svg
50,A,824,2,,A-824-2,Noun,#ffae37,5.1,Dinosaurs,Brachiosauruses,https://drive.google.com/file/d/1hVNdsECzBY2Nvbt-Ju72EU6FqknCfR_p/view?usp=sharing,#N/A,_s.svg
50,A,387,1,,A-387-1,Noun,#ffae37,1.5,Grain,bread,U+1F35E,🍞,
50,A,1044,1,,A-1044-1,Noun,#ffae37,15.2,Private,breast,https://drive.google.com/file/d/1BUG2RsulQBQjAN9sFgyDI-gJTX_S0k_c/view?usp=sharing,#N/A,breasts.svg
