name,tag1,tag2,tag3
asset_100,underwear,boxers,
asset_109,pajamas,,
asset_11,drawer,dresser,clothes
asset_116,socks,,
asset_19,hanger,shirt,pants
asset_2,leotard,swim,dress
asset_21,shirt,fold,
asset_22,clothesline,dry,
asset_30,shorts,,
asset_35,dress,,
asset_46,shirt,tank,
asset_51,dress,,
asset_60,coat,,
asset_68,shirt,fold,
asset_84,drawer,,
asset_86,hat,,
asset_93,pants,,
beach1,sandal,flipflop,
clothes1,shirt,,
shoe9,,,
shoes2,sneakers,,
sock1,,,
underwear1,tank,shirt,
towel_1,towel,,
towel_2,towel,,
uniform_icon_1,,,
uniform_icon_2,,,
uniform_icon_3,,,
hang_towel_2,,,
hang_towel_1,,,
