name,tag1,tag2,tag3
asset_101,tooth,floss,brush
asset_104,dentist,tooth,brush
asset_24,tooth,brush,paste
asset_25,comb,hair,
asset_38,shower,,
asset_39,bath,,
asset_40,tooth,brush,teeth
asset_41,floss,tooth,teeth
asset_47,tooth,teeth,
asset_5,tooth,teeth,brush
asset_55,tooth ,teeth,
asset_61,brush,tooth,teeth
asset_72,soap,wash,clean
asset_75,floss,,
asset_76,tooth,teeth,brush
asset_81,tooth,teeth,brush
asset_95,comb,hair,
asset_97,braces,,
bath1,clean,tub,wash
bathroom2,toilet,paper,
bathroom3,toilet,potty,
clean1,sponge,wash,
clean6,glove,,
shower9, ,,
sunscreen1,,,
toothbrush1,teeth,,
hairbrush_2,,,
hairbrush_3,,,
hairbrush_1,,,
