name,tag1,tag2,tag3
art8,paint,draw,brush
asset_1,flower,plant,
asset_10,plug,power,charge
asset_102,iron,,
asset_103,clean,,
asset_106,clean,wash,soap
asset_111,brush,paint,
asset_112,envelope,mail,
asset_118,wash,clean,
asset_119,seatbelt,safe,buckle
asset_121,weeds,flowers,
asset_123,quiet,,
asset_13,stair,step,
asset_3,teeth,smile,mouth
asset_36,paint,,
asset_43,sand,litter,
asset_59,vacuum,clean,
asset_63,power,charge,plug
asset_7,bag,trash,
asset_85,spray,bottle,
asset_88,drawer,cabinet,
asset_90,shovel,,
asset_91,spray,paint,
asset_92,plant,,
asset_99,question,,
beach4,island,,
bear1,stuffed,animal,
boat3,ship,cruise,
bubbles1,blow,,
camping1,tent,,
car2,drive,,
check1,done,,
clock1,time,alarm,
clock4,time,alarm,
fish3,,,
glasses1,,,
heart1,,,
hug4,,,
music1,trumpet,,
music10,note,,
music2,guitar,,
music4,speaker,amp,
music7,piano,keyboard,
paint1,brush,,
plane4,air,,
shop3,cart,shopping,
timer1,clock,watch,
toy13,duck,rubber,bath
toy2,robot,,
toy3,sand,bucket,
train1,,,
train4,,,
truck1,,,
dail_clock,clock,time,
down1,arrow,,
hr_arrow2,arrow,,
main_button,check,,
afternoon,tree,,
light_switch,light,switch
circle_with_red_yellow_green_blue2,,
circle_with_red_yellow_green_blue1,,
emojis_1,,
emojis_2,,
emojis_3,,
1_2_3,,,
1_2_3_2nd,,,
Church,,,
church_2,,,
light_bulb,,,
light_bulb_2,,,
sun_1,,,
sun_2,,,
sun_3,,,
