name,tag1,tag2,tag3
asset_107,treasure,money,chest
asset_33,candy,,
award3,trophy,,
balloon2,fun,,
bank1,money,piggy,
candy1,treat,sweet,
coin1,money,reward,
cup1,trophy,,
game2,video,controller,
money1,dollar,money,
phone4,cell phone ,mobile,
swing1,playground,swing,play
tablet1,ipad,screen,
tv1,screen,television,
video3,screen,,
fishing3,fishing,,
bouncy_house_1,,,
bouncy_house_2,,,
candy_with_an_s_1,,,
candy_with_an_s_2,,,
fire_truck_1,,,
fire_truck_2,,,
four_wheeler_2,,,
four_wheeler_1,,,
go_kart_1,,,
globe_1,,,
legos_1,,,
legos_2,,,
legos_3,,,
playground_3,,,
playground_2,,,
playground_1,,,
playground_4,,,
popcorn_movies_2,,,
popcorn_movies_1,,,
roller_coaster_1,,,
roller_coaster_3,,,
roller_coaster_2,,,
sleeping_bag_1,,,
sleeping_bag_2,,,
youtube_1,,,
youtube_2,,,
youtube_3,,,
