name,tag1,tag2,tag3
abc1,abc,letter,read
backpack2,school,bag,
Backpack9,bag,school,
book,read,homework,
book6,read,homework,
bus1,school,,
bus3,school,,
computer2,internet,,
computer7,internet,,
homework4,read,,
hw1,homework,,
hw2,homework,write,
math2,homework,numbers,
math5,homework,numbers,
math7,calculator,homework,
school,homework,folder,
school18,homework,board,chalk
screen1,phone,,
glue,art,,
internet2,wifi,web,
up3,upload,internet,
science_beaker_2,,,
sheet_music_2,,,
sheet_music_1,,,
science_beaker,,,
school_folder_3,,,
school_folder,,,
school_folder_2,,,
pencil_1,,,
pencil_2,,,
crayon_3,,,
crayon_2,,,
