name,tag1,tag2,tag3
asset_26,tennis,ball,
asset_28,basketball,ball,
asset_56,swim,pool,
asset_65,football,ball,pigskin
asset_73,baseball,ball,
asset_74,soccer,ball,
asset_9,swim,pool,
asset_96,golf,ball,
ball3,ball,beach,
ball4,pool,ball,
bike1,bicycle,,
cards1,poker,ace,
play1,seesaw,,
play3,jump,rope,jumprope
play4,pingpong,ball,
play6,volleyball,ball,
playground1,basketball,,
soccer1,ball,,
sport2,golf,ball,
sport3,tennis,ball,
swim4,pool,,
swimmingsuit2,shorts,,
water5,bottle,,
tennis_raquet_2,,,
tennis_raquet_1,,,
hockey_sticks,,,
hockey_icon_2,,,
hockey_icon_1,,,
dirt_bike_2,,,
dirt_bike_1,,,
dance_class_2,,,
dance_class_1,,,
bicycle_3,,,
bicycle_1,,,
bicycle_2,,,
ballet_shoe_2,,,
ballet_shoe,,,
a_person_running_3,,,
a_person_running_2,,,
a_person_running_1,,,
