unique_key,image_id,emoji,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,emoji_name
A-35-1,https://drive.google.com/file/d/1dd5ulzlTekcgjqoXgVnX1ZlnuukvjS6U/view?usp=sharing,#8c612d,play,,,,,
E-851-1,U+303D,〽,part,,,,,emoji_1
A-26-1,U+21A9,↩,turn,,,,,emoji_2
E-909-1,U+231A,⌚,watch,,,,,emoji_3
E-855-1,U+2328,⌨,keyboard,,,,,emoji_4
C-203-1,U+23ED,⏭,next,,,,,emoji_5
E-902-1,U+2602,☂,umbrella,,,,,emoji_6
E-597-1,U+2615,☕,coffee,Drink,,,,emoji_7
E-598-1,U+2615,☕,tea,Drink,,,,emoji_8
E-1071-1,U+262A,☪,star,Shapes,,,,emoji_9
E-643-1,U+267F,♿,wheelchair,,,,,emoji_10
C-244-1,U+26A1,⚡,high,,,,,emoji_11
A-1066-1,U+26AA,⚪,circle,Shapes,,,,emoji_12
A-1110-1,U+26BD,⚽,soccer,Sports,,,,emoji_13
E-1108-1,U+26BE,⚾,baseball,Sports,,,,emoji_14
C-152-1,U+26CF,⛏,dig,,,,,emoji_15
E-953-1,U+26D1,⛑,helmet,Clothing,Sports,,,emoji_16
E-639-1,U+26F4,⛴,ferry,,,,,emoji_17
E-637-1,U+26F8,⛸,skate,,,,,emoji_18
A-457-1,U+270F,✏,pencil,Art,,,,emoji_19
A-47-1,U+2B06,⬆,up,,,,,emoji_20
A-48-1,U+2B07,⬇,down,,,,,emoji_21
A-1067-1,U+2B1C,⬜,square,Shapes,,,,emoji_22
A-280-1,U+1F303,🌃,night,Time,Calendar,,,emoji_23
E-1099-1,U+1F308,🌈,rainbow,Weather,,,,emoji_24
E-741-1,U+1F309,🌉,bridge,,,,,emoji_25
E-520-1,U+1F30A,🌊,wave,,,,,emoji_26
C-249-1,U+1F317,🌗,last,,,,,emoji_27
E-513-1,U+1F31F,🌟,shine,,,,,emoji_28
E-889-1,U+1F321,🌡,thermometer,,,,,emoji_29
A-1098-1,U+1F327,🌧,cloud,Weather,,,,emoji_30
E-1101-1,U+1F32A,🌪,tornado,Weather,,,,emoji_31
E-1100-1,U+1F32C,🌬,wind,Weather,,,,emoji_32
E-622-1,U+1F32E,🌮,taco,Meal,Food,,,emoji_33
A-1075-1,U+1F334,🌴,tree,,,,,emoji_34
E-585-1,U+1F336,🌶,pepper,Vegetable,Food,,,emoji_35
D-336-1,U+1F338,🌸,cherry,Fruit,,,,emoji_36
D-477-1,U+1F33D,🌽,ear,,,,,emoji_37
E-1076-1,U+1F343,🍃,leaf,,,,,emoji_38
E-594-1,U+1F344,🍄,mushroom,Vegetable,Food,,,emoji_39
D-338-1,U+1F345,🍅,tomato,Fruit,,,,emoji_40
E-578-1,U+1F348,🍈,melon,Fruit,,,,emoji_41
D-329-1,U+1F349,🍉,watermelon,Fruit,,,,emoji_42
E-581-1,U+1F34B,🍋,lemon,Fruit,,,,emoji_43
A-328-1,U+1F34C,🍌,banana,Fruit,,,,emoji_44
D-335-1,U+1F34D,🍍,pineapple,Fruit,,,,emoji_45
D-334-1,U+1F350,🍐,pear,Fruit,,,,emoji_46
D-333-1,U+1F351,🍑,peach,Fruit,,,,emoji_47
D-331-1,U+1F353,🍓,strawberry,Fruit,,,,emoji_48
A-379-1,U+1F354,🍔,hamburger,Meat,Food,,,emoji_49
A-402-1,U+1F355,🍕,pizza,Meal,Food,,,emoji_50
E-625-1,U+1F356,🍖,barbeque,Condiments,,,,emoji_51
A-376-1,U+1F356,🍖,meat,Meat,Food,,,emoji_52
A-385-1,U+1F358,🍘,rice,Grain,,,,emoji_53
A-387-1,U+1F35E,🍞,bread,Grain,,,,emoji_54
E-623-1,U+1F363,🍣,sushi,Meal,Food,,,emoji_55
D-382-1,U+1F365,🍥,fish,Meat,Food,,,emoji_56
C-240-1,U+1F366,🍦,soft,,,,,emoji_57
A-361-1,U+1F36A,🍪,cookie,Dessert,,,,emoji_58
D-364-1,U+1F36C,🍬,candy,Dessert,,,,emoji_59
E-545-1,U+1F36C,🍬,sweet,,,,,emoji_60
D-399-1,U+1F36F,🍯,honey,Condiments,,,,emoji_61
E-575-1,U+1F371,🍱,lunch,Meal,Food,,,emoji_62
E-871-1,U+1F372,🍲,pot,,,,,emoji_63
E-867-1,U+1F374,🍴,fork,,,,,emoji_64
E-576-1,U+1F37D,🍽,dinner,Meal,Food,,,emoji_65
A-861-1,U+1F37E,🍾,bottle,,,,,emoji_66
A-471-1,U+1F382,🎂,birthday,Days,Calendar,,,emoji_67
E-1093-1,U+1F391,🎑,moon,,,,,emoji_68
E-1149-1,U+1F3A4,🎤,microphone,Music,,,,emoji_69
A-493-1,U+1F3A5,🎥,movie,,,,,emoji_70
E-1001-1,U+1F3A7,🎧,headphone,,,,,emoji_71
E-943-1,U+1F3A9,🎩,hat,Clothing,,,,emoji_72
E-914-1,U+1F3AE,🎮,video,,,,,emoji_73
E-1000-1,U+1F3B2,🎲,game,,,,,emoji_74
E-1115-1,U+1F3B3,🎳,bowling,Art,,,,emoji_75
A-1082-1,U+1F3B4,🎴,flower,,,,,emoji_76
A-1146-1,U+1F3B8,🎸,guitar,Music,,,,emoji_77
E-1147-1,U+1F3BB,🎻,violin,Music,,,,emoji_78
E-1111-1,U+1F3BE,🎾,tennis,Sports,,,,emoji_79
A-1113-1,U+1F3C0,🏀,basketball,Sports,,,,emoji_80
C-286-1,U+1F3C3,🏃,person,,,,,emoji_81
B-56-1,U+1F3C3,🏃,run,,,,,emoji_82
D-427-1,U+1F3C3 U+200D U+2640 U+FE0F,🏃‍♀️,woman,,,,,emoji_83
D-428-1,U+1F3C3 U+200D U+2642 U+FE0F,🏃‍♂️,man,,,,,emoji_84
C-176-1,U+1F3C7,🏇,race,,,,,emoji_85
D-411-1,U+1F3CD,🏍,motorcycle,,,,,emoji_86
E-629-1,U+1F3CE,🏎,race car,car,,,,emoji_87
E-734-1,U+1F3D6,🏖,beach,,,,,emoji_88
E-740-1,U+1F3D7,🏗,building,,,,,emoji_89
